"STATION","NAME","DATE","TMAX","TMIN","TOBS"
"USC00273530","GRAFTON, NH US","2004-04-24","56","29","29"
"USC00273530","GRAFTON, NH US","2004-04-25","57","28","36"
"USC00273530","GRAFTON, NH US","2004-04-26","43","36","42"
"USC00273530","GRAFTON, NH US","2004-04-27","62","36","40"
"USC00273530","GRAFTON, NH US","2004-04-28","51","27","32"
"USC00273530","GRAFTON, NH US","2004-04-29","79","32","44"
"USC00273530","GRAFTON, NH US","2004-04-30","82","42","48"
"USC00273530","GRAFTON, NH US","2004-06-01","47","43","45"
"USC00273530","GRAFTON, NH US","2004-06-02","70","45","47"
"USC00273530","GRAFTON, NH US","2004-06-03","65","38","38"
"USC00273530","GRAFTON, NH US","2004-06-04","71","37","39"
"USC00273530","GRAFTON, NH US","2004-06-05","71","39","46"
"USC00273530","GRAFTON, NH US","2004-06-06","68","45","48"
"USC00273530","GRAFTON, NH US","2004-06-07","80","49","49"
"USC00273530","GRAFTON, NH US","2004-06-08","87","48","55"
"USC00273530","GRAFTON, NH US","2004-06-09","66","55","55"
"USC00273530","GRAFTON, NH US","2004-06-10","70","37","37"
"USC00273530","GRAFTON, NH US","2004-06-11","69","34","35"
"USC00273530","GRAFTON, NH US","2004-06-12","72","35","39"
"USC00273530","GRAFTON, NH US","2004-06-13","78","39","54"
"USC00273530","GRAFTON, NH US","2004-06-14","78","51","63"
"USC00273530","GRAFTON, NH US","2004-06-15","84","50","50"
"USC00273530","GRAFTON, NH US","2004-06-16","83","49","57"
"USC00273530","GRAFTON, NH US","2004-06-17","77","57","61"
"USC00273530","GRAFTON, NH US","2004-06-18","83","59","62"
"USC00273530","GRAFTON, NH US","2004-06-19","76","38","39"
"USC00273530","GRAFTON, NH US","2004-06-20","70","38","39"
"USC00273530","GRAFTON, NH US","2004-06-21","76","39","50"
"USC00273530","GRAFTON, NH US","2004-06-22","62","50","52"
"USC00273530","GRAFTON, NH US","2004-06-23","78","44","44"
"USC00273530","GRAFTON, NH US","2004-06-24","82","43","58"
"USC00273530","GRAFTON, NH US","2004-06-25","73","56","56"
"USC00273530","GRAFTON, NH US","2004-06-26","71","40","40"
"USC00273530","GRAFTON, NH US","2004-06-27","73","40","41"
"USC00273530","GRAFTON, NH US","2004-06-28","72","40","53"
"USC00273530","GRAFTON, NH US","2004-06-29","75","47","48"
"USC00273530","GRAFTON, NH US","2004-06-30","77","45","45"
